Home Team Name, Outcome, Home Team Goals, Away Team Goals, Goal Diff, X1, X2, Away Team Name, Location, Date
Wales,won,13,3,+10,5,0,England,Gloucester,6 Jan 1900
England,lost,3,13,-10,0,5,Wales,Gloucester,6 Jan 1900
Wales,won,12,3,+9,6,3,Scotland,Swansea,27 Jan 1900
Scotland,lost,3,12,-9,3,6,Wales,Swansea,27 Jan 1900
England,won,15,4,+11,7,4,Ireland,Richmond,3 Feb 1900
Ireland,lost,4,15,-11,4,7,England,Richmond,3 Feb 1900
Ireland,draw,0,0,0,-,-,Scotland,Lansdowne Road,24 Feb 1900
Scotland,draw,0,0,0,-,-,Ireland,Lansdowne Road,24 Feb 1900
England,draw,0,0,0,-,-,Scotland,Inverleith,10 Mar 1900
Scotland,draw,0,0,0,-,-,England,Inverleith,10 Mar 1900
Wales,won,3,0,+3,-,-,Ireland,Belfast,17 Mar 1900
Ireland,lost,0,3,-3,-,-,Wales,Belfast,17 Mar 1900
Germany,lost,17,27,-10,-,-,France XV,Paris,14 Oct 1900
Wales,won,13,0,+13,5,0,England,Cardiff,5 Jan 1901
England,lost,0,13,-13,0,5,Wales,Cardiff,5 Jan 1901
Scotland,won,18,8,+10,10,0,Wales,Inverleith,9 Feb 1901
Wales,lost,8,18,-10,0,10,Scotland,Inverleith,9 Feb 1901
Ireland,won,10,6,+4,5,3,England,Lansdowne Road,9 Feb 1901
England,lost,6,10,-4,3,5,Ireland,Lansdowne Road,9 Feb 1901
Scotland,won,9,5,+4,9,5,Ireland,Inverleith,23 Feb 1901
Ireland,lost,5,9,-4,5,9,Scotland,Inverleith,23 Feb 1901
Scotland,won,18,3,+15,15,0,England,Blackheath,9 Mar 1901
England,lost,3,18,-15,0,15,Scotland,Blackheath,9 Mar 1901
Wales,won,10,9,+1,5,9,Ireland,Swansea,16 Mar 1901
Ireland,lost,9,10,-1,9,5,Wales,Swansea,16 Mar 1901
Wales,won,9,8,+1,3,8,England,Blackheath,11 Jan 1902
England,lost,8,9,-1,8,3,Wales,Blackheath,11 Jan 1902
Wales,won,14,5,+9,14,5,Scotland,Cardiff,1 Feb 1902
Scotland,lost,5,14,-9,5,14,Wales,Cardiff,1 Feb 1902
England,won,6,3,+3,3,0,Ireland,Leicester,8 Feb 1902
Ireland,lost,3,6,-3,0,3,England,Leicester,8 Feb 1902
Ireland,won,5,0,+5,-,-,Scotland,Belfast,22 Feb 1902
Scotland,lost,0,5,-5,-,-,Ireland,Belfast,22 Feb 1902
Wales,won,15,0,+15,-,-,Ireland,Lansdowne Road,8 Mar 1902
Ireland,lost,0,15,-15,-,-,Wales,Lansdowne Road,8 Mar 1902
England,won,6,3,+3,6,0,Scotland,Inverleith,15 Mar 1902
Scotland,lost,3,6,-3,0,6,England,Inverleith,15 Mar 1902
Wales,won,21,5,+16,21,0,England,Swansea,10 Jan 1903
England,lost,5,21,-16,0,21,Wales,Swansea,10 Jan 1903
Scotland,won,6,0,+6,3,0,Wales,Inverleith,7 Feb 1903
Wales,lost,0,6,-6,0,3,Scotland,Inverleith,7 Feb 1903
Ireland,won,6,0,+6,6,0,England,Lansdowne Road,14 Feb 1903
England,lost,0,6,-6,0,6,Ireland,Lansdowne Road,14 Feb 1903
Scotland,won,3,0,+3,-,-,Ireland,Inverleith,28 Feb 1903
Ireland,lost,0,3,-3,-,-,Scotland,Inverleith,28 Feb 1903
Wales,won,18,0,+18,9,0,Ireland,Cardiff,14 Mar 1903
Ireland,lost,0,18,-18,0,9,Wales,Cardiff,14 Mar 1903
Scotland,won,10,6,+4,7,3,England,Richmond,21 Mar 1903
England,lost,6,10,-4,3,7,Scotland,Richmond,21 Mar 1903
New Zealand,won,22,3,+19,7,3,Australia,Sydney,15 Aug 1903
Australia,lost,3,22,-19,3,7,New Zealand,Sydney,15 Aug 1903
Great Britain,draw,10,10,0,5,10,South Africa,Johannesburg,26 Aug 1903
South Africa,draw,10,10,0,10,5,Britain,Johannesburg,26 Aug 1903
Great Britain,draw,0,0,0,-,-,South Africa,Kimberley,5 Sep 1903
South Africa,draw,0,0,0,-,-,Britain,Kimberley,5 Sep 1903
South Africa,won,8,0,+8,-,-,Britain,Cape Town,12 Sep 1903
Great Britain,lost,0,8,-8,-,-,South Africa,Cape Town,12 Sep 1903
England,draw,14,14,0,6,0,Wales,Leicester,9 Jan 1904
Wales,draw,14,14,0,0,6,England,Leicester,9 Jan 1904
Wales,won,21,3,+18,13,0,Scotland,Swansea,6 Feb 1904
Scotland,lost,3,21,-18,0,13,Wales,Swansea,6 Feb 1904
England,won,19,0,+19,3,0,Ireland,Blackheath,13 Feb 1904
Ireland,lost,0,19,-19,0,3,England,Blackheath,13 Feb 1904
Scotland,won,19,3,+16,3,0,Ireland,Lansdowne Road,27 Feb 1904
Ireland,lost,3,19,-16,0,3,Scotland,Lansdowne Road,27 Feb 1904
Ireland,won,14,12,+2,6,3,Wales,Belfast,12 Mar 1904
Wales,lost,12,14,-2,3,6,Ireland,Belfast,12 Mar 1904
Scotland,won,6,3,+3,3,0,England,Inverleith,19 Mar 1904
England,lost,3,6,-3,0,3,Scotland,Inverleith,19 Mar 1904
Great Britain,won,17,0,+17,-,-,Australia,Sydney,2 Jul 1904
Australia,lost,0,17,-17,-,-,Britain,Sydney,2 Jul 1904
Great Britain,won,17,3,+14,0,3,Australia,Brisbane,23 Jul 1904
Australia,lost,3,17,-14,3,0,Britain,Brisbane,23 Jul 1904
Great Britain,won,16,0,+16,3,0,Australia,Sydney,30 Jul 1904
Australia,lost,0,16,-16,0,3,Britain,Sydney,30 Jul 1904
New Zealand,won,9,3,+6,3,3,Britain,Wellington,13 Aug 1904
Great Britain,lost,3,9,-6,3,3,New Zealand,Wellington,13 Aug 1904
Wales,won,25,0,+25,11,0,England,Cardiff,14 Jan 1905
England,lost,0,25,-25,0,11,Wales,Cardiff,14 Jan 1905
Wales,won,6,3,+3,3,3,Scotland,Inverleith,4 Feb 1905
Scotland,lost,3,6,-3,3,3,Wales,Inverleith,4 Feb 1905
Ireland,won,17,3,+14,6,0,England,Cork,11 Feb 1905
England,lost,3,17,-14,0,6,Ireland,Cork,11 Feb 1905
Ireland,won,11,5,+6,5,0,Scotland,Inverleith,25 Feb 1905
Scotland,lost,5,11,-6,0,5,Ireland,Inverleith,25 Feb 1905
Wales,won,10,3,+7,10,3,Ireland,Swansea,11 Mar 1905
Ireland,lost,3,10,-7,3,10,Wales,Swansea,11 Mar 1905
Scotland,won,8,0,+8,-,-,England,Richmond,18 Mar 1905
England,lost,0,8,-8,-,-,Scotland,Richmond,18 Mar 1905
New Zealand,won,14,3,+11,3,3,Australia,Dunedin,2 Sep 1905
Australia,lost,3,14,-11,3,3,New Zealand,Dunedin,2 Sep 1905
New Zealand,won,12,7,+5,6,7,Scotland,Inverleith,18 Nov 1905
Scotland,lost,7,12,-5,7,6,New Zealand,Inverleith,18 Nov 1905
New Zealand,won,15,0,+15,5,0,Ireland,Lansdowne Road,25 Nov 1905
Ireland,lost,0,15,-15,0,5,New Zealand,Lansdowne Road,25 Nov 1905
New Zealand,won,15,0,+15,9,0,England,Crystal Palace,2 Dec 1905
England,lost,0,15,-15,0,9,New Zealand,Crystal Palace,2 Dec 1905
Wales,won,3,0,+3,3,0,New Zealand,Cardiff,16 Dec 1905
New Zealand,lost,0,3,-3,0,3,Wales,Cardiff,16 Dec 1905
New Zealand,won,38,8,+30,18,3,France,Parc des Princes,1 Jan 1906
France,lost,8,38,-30,3,18,New Zealand,Parc des Princes,1 Jan 1906
Wales,won,16,3,+13,13,3,England,Richmond,13 Jan 1906
England,lost,3,16,-13,3,13,Wales,Richmond,13 Jan 1906
Wales,won,9,3,+6,6,0,Scotland,Cardiff,3 Feb 1906
Scotland,lost,3,9,-6,0,6,Wales,Cardiff,3 Feb 1906
Ireland,won,16,6,+10,8,0,England,Leicester,10 Feb 1906
England,lost,6,16,-10,0,8,Ireland,Leicester,10 Feb 1906
Scotland,won,13,6,+7,10,0,Ireland,Lansdowne Road,24 Feb 1906
Ireland,lost,6,13,-7,0,10,Scotland,Lansdowne Road,24 Feb 1906
Ireland,won,11,6,+5,8,3,Wales,Belfast,10 Mar 1906
Wales,lost,6,11,-5,3,8,Ireland,Belfast,10 Mar 1906
England,won,9,3,+6,3,3,Scotland,Inverleith,17 Mar 1906
Scotland,lost,3,9,-6,3,3,England,Inverleith,17 Mar 1906
England,won,35,8,+27,22,0,France,Parc des Princes,22 Mar 1906
France,lost,8,35,-27,0,22,England,Parc des Princes,22 Mar 1906
Scotland,won,6,0,+6,-,-,South Africa,Glasgow,17 Nov 1906
South Africa,lost,0,6,-6,-,-,Scotland,Glasgow,17 Nov 1906
South Africa,won,15,12,+3,12,3,Ireland,Belfast,24 Nov 1906
Ireland,lost,12,15,-3,3,12,South Africa,Belfast,24 Nov 1906
South Africa,won,11,0,+11,6,0,Wales,Swansea,1 Dec 1906
Wales,lost,0,11,-11,0,6,South Africa,Swansea,1 Dec 1906
England,draw,3,3,0,0,3,South Africa,Crystal Palace,8 Dec 1906
South Africa,draw,3,3,0,3,0,England,Crystal Palace,8 Dec 1906
England,won,41,13,+28,13,13,France,Richmond,5 Jan 1907
France,lost,13,41,-28,13,13,England,Richmond,5 Jan 1907
Wales,won,22,0,+22,13,0,England,Swansea,12 Jan 1907
England,lost,0,22,-22,0,13,Wales,Swansea,12 Jan 1907
Scotland,won,6,3,+3,0,3,Wales,Inverleith,2 Feb 1907
Wales,lost,3,6,-3,3,0,Scotland,Inverleith,2 Feb 1907
Ireland,won,17,9,+8,14,0,England,Lansdowne Road,9 Feb 1907
England,lost,9,17,-8,0,14,Ireland,Lansdowne Road,9 Feb 1907
Scotland,won,15,3,+12,0,3,Ireland,Inverleith,23 Feb 1907
Ireland,lost,3,15,-12,3,0,Scotland,Inverleith,23 Feb 1907
Wales,won,29,0,+29,6,0,Ireland,Cardiff,9 Mar 1907
Ireland,lost,0,29,-29,0,6,Wales,Cardiff,9 Mar 1907
Scotland,won,8,3,+5,-,-,England,Blackheath,16 Mar 1907
England,lost,3,8,-5,-,-,Scotland,Blackheath,16 Mar 1907
New Zealand,won,26,6,+20,13,0,Australia,Sydney,20 Jul 1907
Australia,lost,6,26,-20,0,13,New Zealand,Sydney,20 Jul 1907
New Zealand,won,14,5,+9,0,5,Australia,Brisbane,3 Aug 1907
Australia,lost,5,14,-9,5,0,New Zealand,Brisbane,3 Aug 1907
Australia,draw,5,5,0,-,-,New Zealand,Sydney,10 Aug 1907
New Zealand,draw,5,5,0,-,-,Australia,Sydney,10 Aug 1907
England,won,19,0,+19,6,0,France,Colombes,1 Jan 1908
France,lost,0,19,-19,0,6,England,Colombes,1 Jan 1908
Wales,won,28,18,+10,15,8,England,Bristol,18 Jan 1908
England,lost,18,28,-10,8,15,Wales,Bristol,18 Jan 1908
Wales,won,6,5,+1,3,5,Scotland,Swansea,1 Feb 1908
Scotland,lost,5,6,-1,5,3,Wales,Swansea,1 Feb 1908
England,won,13,3,+10,3,0,Ireland,Richmond,8 Feb 1908
Ireland,lost,3,13,-10,0,3,England,Richmond,8 Feb 1908
Ireland,won,16,11,+5,13,3,Scotland,Lansdowne Road,29 Feb 1908
Scotland,lost,11,16,-5,3,13,Ireland,Lansdowne Road,29 Feb 1908
Wales,won,36,4,+32,17,4,France,Cardiff,2 Mar 1908
France,lost,4,36,-32,4,17,Wales,Cardiff,2 Mar 1908
Wales,won,11,5,+6,5,5,Ireland,Belfast,14 Mar 1908
Ireland,lost,5,11,-6,5,5,Wales,Belfast,14 Mar 1908
Scotland,won,16,10,+6,7,10,England,Inverleith,21 Mar 1908
England,lost,10,16,-6,10,7,Scotland,Inverleith,21 Mar 1908
New Zealand,won,32,5,+27,21,0,Anglo-Welsh,Dunedin,6 Jun 1908
Anglo-Welsh,lost,5,32,-27,0,21,New Zealand,Dunedin,6 Jun 1908
Anglo-Welsh,draw,3,3,0,-,-,New Zealand,Wellington,27 Jun 1908
New Zealand,draw,3,3,0,-,-,Anglo-Welsh,Wellington,27 Jun 1908
New Zealand,won,29,0,+29,12,0,Anglo-Welsh,Auckland,25 Jul 1908
Anglo-Welsh,lost,0,29,-29,0,12,New Zealand,Auckland,25 Jul 1908
Wales,won,9,6,+3,3,3,Australia,Cardiff,12 Dec 1908
Australia,lost,6,9,-3,3,3,Wales,Cardiff,12 Dec 1908
Australia,won,9,3,+6,3,3,England,Blackheath,9 Jan 1909
England,lost,3,9,-6,3,3,Australia,Blackheath,9 Jan 1909
Wales,won,8,0,+8,8,0,England,Cardiff,16 Jan 1909
England,lost,0,8,-8,0,8,Wales,Cardiff,16 Jan 1909
England,won,22,0,+22,10,0,France,Leicester,30 Jan 1909
France,lost,0,22,-22,0,10,England,Leicester,30 Jan 1909
Wales,won,5,3,+2,-,-,Scotland,Inverleith,6 Feb 1909
Scotland,lost,3,5,-2,-,-,Wales,Inverleith,6 Feb 1909
England,won,11,5,+6,0,5,Ireland,Lansdowne Road,13 Feb 1909
Ireland,lost,5,11,-6,5,0,England,Lansdowne Road,13 Feb 1909
Wales,won,47,5,+42,9,0,France,Colombes,23 Feb 1909
France,lost,5,47,-42,0,9,Wales,Colombes,23 Feb 1909
Scotland,won,9,3,+6,3,0,Ireland,Inverleith,27 Feb 1909
Ireland,lost,3,9,-6,0,3,Scotland,Inverleith,27 Feb 1909
Wales,won,18,5,+13,-,-,Ireland,Swansea,13 Mar 1909
Ireland,lost,5,18,-13,-,-,Wales,Swansea,13 Mar 1909
Scotland,won,18,8,+10,3,8,England,Richmond,20 Mar 1909
England,lost,8,18,-10,8,3,Scotland,Richmond,20 Mar 1909
Ireland,won,19,8,+11,8,0,France,Lansdowne Road,20 Mar 1909
France,lost,8,19,-11,0,8,Ireland,Lansdowne Road,20 Mar 1909
Wales,won,49,14,+35,21,14,France,Swansea,1 Jan 1910
France,lost,14,49,-35,14,21,Wales,Swansea,1 Jan 1910
England,won,11,6,+5,11,3,Wales,Twickenham,15 Jan 1910
Wales,lost,6,11,-5,3,11,England,Twickenham,15 Jan 1910
Scotland,won,27,0,+27,11,0,France,Inverleith,22 Jan 1910
France,lost,0,27,-27,0,11,Scotland,Inverleith,22 Jan 1910
Wales,won,14,0,+14,8,0,Scotland,Cardiff,5 Feb 1910
Scotland,lost,0,14,-14,0,8,Wales,Cardiff,5 Feb 1910
England,draw,0,0,0,-,-,Ireland,Twickenham,12 Feb 1910
Ireland,draw,0,0,0,-,-,England,Twickenham,12 Feb 1910
Scotland,won,14,0,+14,3,0,Ireland,Belfast,26 Feb 1910
Ireland,lost,0,14,-14,0,3,Scotland,Belfast,26 Feb 1910
England,won,11,3,+8,8,0,France,Parc des Princes,3 Mar 1910
France,lost,3,11,-8,0,8,England,Parc des Princes,3 Mar 1910
Wales,won,19,3,+16,3,3,Ireland,Lansdowne Road,12 Mar 1910
Ireland,lost,3,19,-16,3,3,Wales,Lansdowne Road,12 Mar 1910
England,won,14,5,+9,5,5,Scotland,Inverleith,19 Mar 1910
Scotland,lost,5,14,-9,5,5,England,Inverleith,19 Mar 1910
Ireland,won,8,3,+5,8,3,France,Parc des Princes,28 Mar 1910
France,lost,3,8,-5,3,8,Ireland,Parc des Princes,28 Mar 1910
Argentina,lost,3,28,-25,-,-,Britain XV,Flores,12 Jun 1910
New Zealand,won,6,0,+6,-,-,Australia,Sydney,25 Jun 1910
Australia,lost,0,6,-6,-,-,New Zealand,Sydney,25 Jun 1910
Australia,won,11,0,+11,3,0,New Zealand,Sydney,27 Jun 1910
New Zealand,lost,0,11,-11,0,3,Australia,Sydney,27 Jun 1910
New Zealand,won,28,13,+15,6,5,Australia,Sydney,2 Jul 1910
Australia,lost,13,28,-15,5,6,New Zealand,Sydney,2 Jul 1910
South Africa,won,14,10,+4,3,3,Britain,Johannesburg,6 Aug 1910
Great Britain,lost,10,14,-4,3,3,South Africa,Johannesburg,6 Aug 1910
Great Britain,won,8,3,+5,0,3,South Africa,Port Elizabeth,27 Aug 1910
South Africa,lost,3,8,-5,3,0,Britain,Port Elizabeth,27 Aug 1910
South Africa,won,21,5,+16,5,0,Britain,Cape Town,3 Sep 1910
Great Britain,lost,5,21,-16,0,5,South Africa,Cape Town,3 Sep 1910
France,won,16,15,+1,11,8,Scotland,Colombes,2 Jan 1911
Scotland,lost,15,16,-1,8,11,France,Colombes,2 Jan 1911
Wales,won,15,11,+4,6,3,England,Swansea,21 Jan 1911
England,lost,11,15,-4,3,6,Wales,Swansea,21 Jan 1911
England,won,37,0,+37,8,0,France,Twickenham,28 Jan 1911
France,lost,0,37,-37,0,8,England,Twickenham,28 Jan 1911
Wales,won,32,10,+22,7,4,Scotland,Inverleith,4 Feb 1911
Scotland,lost,10,32,-22,4,7,Wales,Inverleith,4 Feb 1911
Ireland,won,3,0,+3,-,-,England,Lansdowne Road,11 Feb 1911
England,lost,0,3,-3,-,-,Ireland,Lansdowne Road,11 Feb 1911
Ireland,won,16,10,+6,8,3,Scotland,Inverleith,25 Feb 1911
Scotland,lost,10,16,-6,3,8,Ireland,Inverleith,25 Feb 1911
Wales,won,15,0,+15,-,-,France,Parc des Princes,28 Feb 1911
France,lost,0,15,-15,-,-,Wales,Parc des Princes,28 Feb 1911
Wales,won,16,0,+16,5,0,Ireland,Cardiff,11 Mar 1911
Ireland,lost,0,16,-16,0,5,Wales,Cardiff,11 Mar 1911
England,won,13,8,+5,8,3,Scotland,Twickenham,18 Mar 1911
Scotland,lost,8,13,-5,3,8,England,Twickenham,18 Mar 1911
Ireland,won,25,5,+20,0,5,France,Cork,25 Mar 1911
France,lost,5,25,-20,5,0,Ireland,Cork,25 Mar 1911
Ireland,won,11,6,+5,11,6,France,Parc des Princes,1 Jan 1912
France,lost,6,11,-5,6,11,Ireland,Parc des Princes,1 Jan 1912
England,won,8,0,+8,-,-,Wales,Twickenham,20 Jan 1912
Scotland,won,31,3,+28,13,3,France,Inverleith,20 Jan 1912
France,lost,3,31,-28,3,13,Scotland,Inverleith,20 Jan 1912
Wales,lost,0,8,-8,-,-,England,Twickenham,20 Jan 1912
Wales,won,21,6,+15,7,3,Scotland,Swansea,3 Feb 1912
Scotland,lost,6,21,-15,3,7,Wales,Swansea,3 Feb 1912
England,won,15,0,+15,3,0,Ireland,Twickenham,10 Feb 1912
Ireland,lost,0,15,-15,0,3,England,Twickenham,10 Feb 1912
Ireland,won,10,8,+2,7,3,Scotland,Lansdowne Road,24 Feb 1912
Scotland,lost,8,10,-2,3,7,Ireland,Lansdowne Road,24 Feb 1912
Ireland,won,12,5,+7,0,5,Wales,Belfast,9 Mar 1912
Wales,lost,5,12,-7,5,0,Ireland,Belfast,9 Mar 1912
Scotland,won,8,3,+5,-,-,England,Inverleith,16 Mar 1912
England,lost,3,8,-5,-,-,Scotland,Inverleith,16 Mar 1912
Wales,won,14,8,+6,6,8,France,Newport,25 Mar 1912
France,lost,8,14,-6,8,6,Wales,Newport,25 Mar 1912
England,won,18,8,+10,14,0,France,Parc des Princes,8 Apr 1912
France,lost,8,18,-10,0,14,England,Parc des Princes,8 Apr 1912
Australia,won,12,8,+4,5,0,USA,Berkeley,16 Nov 1912
United States of America,lost,8,12,-4,0,5,Australia,Berkeley,16 Nov 1912
South Africa,won,16,0,+16,3,0,Scotland,Inverleith,23 Nov 1912
Scotland,lost,0,16,-16,0,3,South Africa,Inverleith,23 Nov 1912
South Africa,won,38,0,+38,12,0,Ireland,Lansdowne Road,30 Nov 1912
Ireland,lost,0,38,-38,0,12,South Africa,Lansdowne Road,30 Nov 1912
South Africa,won,3,0,+3,3,0,Wales,Cardiff,14 Dec 1912
Wales,lost,0,3,-3,0,3,South Africa,Cardiff,14 Dec 1912
Scotland,won,21,3,+18,8,3,France,Parc des Princes,1 Jan 1913
France,lost,3,21,-18,3,8,Scotland,Parc des Princes,1 Jan 1913
South Africa,won,9,3,+6,3,3,England,Twickenham,4 Jan 1913
England,lost,3,9,-6,3,3,South Africa,Twickenham,4 Jan 1913
South Africa,won,38,5,+33,11,5,France,Bordeaux,11 Jan 1913
France,lost,5,38,-33,5,11,South Africa,Bordeaux,11 Jan 1913
England,won,12,0,+12,-,-,Wales,Cardiff,18 Jan 1913
Wales,lost,0,12,-12,-,-,England,Cardiff,18 Jan 1913
England,won,20,0,+20,6,0,France,Twickenham,25 Jan 1913
France,lost,0,20,-20,0,6,England,Twickenham,25 Jan 1913
Wales,won,8,0,+8,3,0,Scotland,Inverleith,1 Feb 1913
Scotland,lost,0,8,-8,0,3,Wales,Inverleith,1 Feb 1913
England,won,15,4,+11,9,0,Ireland,Lansdowne Road,8 Feb 1913
Ireland,lost,4,15,-11,0,9,England,Lansdowne Road,8 Feb 1913
Scotland,won,29,14,+15,18,5,Ireland,Inverleith,22 Feb 1913
Ireland,lost,14,29,-15,5,18,Scotland,Inverleith,22 Feb 1913
Wales,won,11,8,+3,3,0,France,Parc des Princes,27 Feb 1913
France,lost,8,11,-3,0,3,Wales,Parc des Princes,27 Feb 1913
Wales,won,16,13,+3,8,8,Ireland,Swansea,8 Mar 1913
Ireland,lost,13,16,-3,8,8,Wales,Swansea,8 Mar 1913
England,won,3,0,+3,3,0,Scotland,Twickenham,15 Mar 1913
Scotland,lost,0,3,-3,0,3,England,Twickenham,15 Mar 1913
Ireland,won,24,0,+24,8,0,France,Cork,24 Mar 1913
France,lost,0,24,-24,0,8,Ireland,Cork,24 Mar 1913
New Zealand,won,30,5,+25,11,5,Australia,Wellington,6 Sep 1913
Australia,lost,5,30,-25,5,11,New Zealand,Wellington,6 Sep 1913
New Zealand,won,25,13,+12,9,8,Australia,Dunedin,13 Sep 1913
Australia,lost,13,25,-12,8,9,New Zealand,Dunedin,13 Sep 1913
Australia,won,16,5,+11,5,5,New Zealand,Christchurch,20 Sep 1913
New Zealand,lost,5,16,-11,5,5,Australia,Christchurch,20 Sep 1913
New Zealand,won,51,3,+48,27,3,USA,Berkeley,15 Nov 1913
United States of America,lost,3,51,-48,3,27,New Zealand,Berkeley,15 Nov 1913
Ireland,won,8,6,+2,0,3,France,Parc des Princes,1 Jan 1914
France,lost,6,8,-2,3,0,Ireland,Parc des Princes,1 Jan 1914
England,won,10,9,+1,5,4,Wales,Twickenham,17 Jan 1914
Wales,lost,9,10,-1,4,5,England,Twickenham,17 Jan 1914
Wales,won,24,5,+19,7,5,Scotland,Cardiff,7 Feb 1914
Scotland,lost,5,24,-19,5,7,Wales,Cardiff,7 Feb 1914
England,won,17,12,+5,6,7,Ireland,Twickenham,14 Feb 1914
Ireland,lost,12,17,-5,7,6,England,Twickenham,14 Feb 1914
Ireland,won,6,0,+6,-,-,Scotland,Lansdowne Road,28 Feb 1914
Scotland,lost,0,6,-6,-,-,Ireland,Lansdowne Road,28 Feb 1914
Wales,won,31,0,+31,13,0,France,Swansea,2 Mar 1914
France,lost,0,31,-31,0,13,Wales,Swansea,2 Mar 1914
Wales,won,11,3,+8,3,3,Ireland,Belfast,14 Mar 1914
Ireland,lost,3,11,-8,3,3,Wales,Belfast,14 Mar 1914
England,won,16,15,+1,3,3,Scotland,Inverleith,21 Mar 1914
Scotland,lost,15,16,-1,3,3,England,Inverleith,21 Mar 1914
England,won,39,13,+26,13,8,France,Colombes,13 Apr 1914
France,lost,13,39,-26,8,13,England,Colombes,13 Apr 1914
New Zealand,won,5,0,+5,-,-,Australia,Sydney,18 Jul 1914
Australia,lost,0,5,-5,-,-,New Zealand,Sydney,18 Jul 1914
New Zealand,won,17,0,+17,9,0,Australia,Brisbane,1 Aug 1914
Australia,lost,0,17,-17,0,9,New Zealand,Brisbane,1 Aug 1914
New Zealand,won,22,7,+15,3,0,Australia,Sydney,15 Aug 1914
Australia,lost,7,22,-15,0,3,New Zealand,Sydney,15 Aug 1914
United States of America,won,21,0,+21,-,-,Romania,Colombes,-
Romania,lost,0,21,-21,-,-,USA,Colombes,-
Romania,lost,5,48,-43,-,-,France XV,Paris,-
Wales,lost,3,6,-3,3,6,,Swansea,21 Apr 1919
Scotland,won,5,0,+5,-,-,France,Parc des Princes,1 Jan 1920
France,lost,0,5,-5,-,-,Scotland,Parc des Princes,1 Jan 1920
Wales,won,19,5,+14,3,5,England,Swansea,17 Jan 1920
England,lost,5,19,-14,5,3,Wales,Swansea,17 Jan 1920
England,won,8,3,+5,3,3,France,Twickenham,31 Jan 1920
France,lost,3,8,-5,3,3,England,Twickenham,31 Jan 1920
Scotland,won,9,5,+4,0,5,Wales,Inverleith,7 Feb 1920
Wales,lost,5,9,-4,5,0,Scotland,Inverleith,7 Feb 1920
England,won,14,11,+3,0,3,Ireland,Lansdowne Road,14 Feb 1920
Ireland,lost,11,14,-3,3,0,England,Lansdowne Road,14 Feb 1920
Wales,won,6,5,+1,-,-,France,Colombes,17 Feb 1920
France,lost,5,6,-1,-,-,Wales,Colombes,17 Feb 1920
Scotland,won,19,0,+19,13,0,Ireland,Inverleith,28 Feb 1920
Ireland,lost,0,19,-19,0,13,Scotland,Inverleith,28 Feb 1920
Wales,won,28,4,+24,17,0,Ireland,Cardiff,13 Mar 1920
Ireland,lost,4,28,-24,0,17,Wales,Cardiff,13 Mar 1920
England,won,13,4,+9,10,4,Scotland,Twickenham,20 Mar 1920
Scotland,lost,4,13,-9,4,10,England,Twickenham,20 Mar 1920
France,won,15,7,+8,9,0,Ireland,Lansdowne Road,3 Apr 1920
Ireland,lost,7,15,-8,0,9,France,Lansdowne Road,3 Apr 1920
Australia,lost,15,26,-11,10,16,NZ XV,Sydney,24 Jul 1920
Australia,lost,6,14,-8,0,8,NZ XV,Sydney,31 Jul 1920
Australia,lost,13,24,-11,5,11,NZ XV,Sydney,7 Aug 1920
United States of America,won,8,0,+8,-,-,France XV,Antwerp,5 Sep 1920
France,won,14,5,+9,6,5,USA,Colombes,10 Oct 1920
United States of America,lost,5,14,-9,5,6,France,Colombes,10 Oct 1920
England,won,18,3,+15,12,0,Wales,Twickenham,15 Jan 1921
Wales,lost,3,18,-15,0,12,England,Twickenham,15 Jan 1921
France,won,3,0,+3,3,0,Scotland,Inverleith,22 Jan 1921
Scotland,lost,0,3,-3,0,3,France,Inverleith,22 Jan 1921
Scotland,won,14,8,+6,11,0,Wales,Swansea,5 Feb 1921
Wales,lost,8,14,-6,0,11,Scotland,Swansea,5 Feb 1921
England,won,15,0,+15,3,0,Ireland,Twickenham,12 Feb 1921
Ireland,lost,0,15,-15,0,3,England,Twickenham,12 Feb 1921
Ireland,won,9,8,+1,3,8,Scotland,Lansdowne Road,26 Feb 1921
Wales,won,12,4,+8,12,0,France,Cardiff,26 Feb 1921
France,lost,4,12,-8,0,12,Wales,Cardiff,26 Feb 1921
Scotland,lost,8,9,-1,8,3,Ireland,Lansdowne Road,26 Feb 1921
Wales,won,6,0,+6,-,-,Ireland,Belfast,12 Mar 1921
Ireland,lost,0,6,-6,-,-,Wales,Belfast,12 Mar 1921
England,won,18,0,+18,8,0,Scotland,Inverleith,19 Mar 1921
Scotland,lost,0,18,-18,0,8,England,Inverleith,19 Mar 1921
England,won,10,6,+4,10,3,France,Colombes,28 Mar 1921
France,lost,6,10,-4,3,10,England,Colombes,28 Mar 1921
France,won,20,10,+10,5,5,Ireland,Colombes,9 Apr 1921
Ireland,lost,10,20,-10,5,5,France,Colombes,9 Apr 1921
Australia,lost,10,25,-15,3,13,S Africa XV,Sydney,25 Jun 1921
Australia,lost,11,16,-5,8,5,S Africa XV,Sydney,27 Jun 1921
Australia,lost,9,28,-19,3,10,S Africa XV,Sydney,2 Jul 1921
New Zealand,won,13,5,+8,0,5,South Africa,Dunedin,13 Aug 1921
South Africa,lost,5,13,-8,5,0,New Zealand,Dunedin,13 Aug 1921
South Africa,won,9,5,+4,5,5,New Zealand,Auckland,27 Aug 1921
